매장ID	메뉴ID	아이스분류	메뉴타입ID	가격	매장메뉴명	매장메뉴칼로리	매장메뉴소개
2	36	0	0	3900	커피 프라페	420	바삭한 쿠키와 부드러운 바닐라에 향긋한 에스프레소를 섞어 만든 힐링 프라페.
2	22	0	0	3900	민트 프라페	511	상쾌한 민트에 달콤하게 씹는 재미를 더한 초콜릿칩의 즐거운 하모니가 매력적인 프라페.
2	27	0	1	4800	유니콘 프라페	474	다채로운 비주얼로 보는 즐거움을 채우고, 달콤함과 상큼함 색깔마다 달라지는 유쾌한 맛까지 잡은 이색프라페.
2	47	0	0	3600	고흥 유자 하이볼 에이드	346	상큼한 고흥유자와 청량한 하이볼 맛 음료가 조화롭게 섞여 남도의 바다색을 느낄 수 있는 여름 한정 무알콜 에이드
2	41	0	0	3600	보성 녹차레몬 콤부 에이드	49	현미발효시킨 콤부차에 보성 녹차와 상큼한 레몬을 더해 시원하고 부드러운 탄산을 느낄 수 있는 여름 한정 건강 메뉴
2	41	0	1	3800	유니콘 매직 에이드(블루)	275	섞으면 마법처럼 색이 변하는 재미에 라임의 청량함으로 입까지 즐거운 이색 에이드.
2	41	0	1	3800	유니콘 매직 에이드(핑크)	219	섞으면 마법처럼 색이 변하는 재미에 레몬의 상큼함으로 입까지 즐거운 이색 에이드.
2	53	0	1	3900	메가에이드	292	상큼한 레몬, 상쾌한 라임, 달콤쌉싸름한 자몽의 3색 맛을 한데 어우른 메가MGC커피 시그니처 에이드.
2	47	0	0	3800	라임 모히또	278	상큼한 라임과 달콤한 향기의 애플민트가 어우러져 상쾌함을 한잔에 가득 채운 모히또 음료.
2	41	0	0	3500	레몬에이드	196	시트러스향 가득한 레몬의 상큼함과 톡쏘는 탄산의 상쾌함이 만난 청량 에이드.
2	48	0	0	3500	블루레몬에이드	225	레몬에이드의 상큼한 청량감에 블루큐라소의 진한 향미를 더한 에이드.
2	52	0	0	3500	자몽에이드	203	자몽의 달콤쌉싸름한 맛과 탄산의 톡쏘는 목넘김이 어우러진 트로피컬 에이드.
2	43	0	0	3500	청포도 에이드	305	산뜻한 청포도와 상쾌한 탄산의 달달한 조화가 인상적인 에이드.
2	49	0	0	3300	체리콕	323	체리의 새콤함과 청량감을 동시에 즐길 수 있는 환상적인 에이드.
2	62	0	0	3800	흑당 버블 밀크티 라떼	330	타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당과 흑당 버블의 달콤함을 채운 음료.
2	61	0	0	3500	흑당 밀크티 라떼	300	타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당의 달콤함을 채운 음료.
2	60	1	0	3700	로열 밀크티 라떼	232	우유와 은은한 홍차가 어우러져 부드럽고 향긋한 한 모금을 완성한 라떼.
2	60	0	0	3700	로열 밀크티 라떼	254	우유와 은은한 홍차가 어우러져 부드럽고 향긋한 한 모금을 완성한 라떼.
2	69	1	0	2000	에스프레소	7	메가MGC커피 원두의 향미를 온전히 즐길 수 있는 에스프레소
2	70	1	0	2200	에스프레소 도피오	15	더블샷으로 더욱 진하게 즐길 수 있는 에스프레소
2	71	1	0	2200	에스프레소 피에노	112	크림과 코코아 파우더를 올려 부드럽게 즐길 수 있는 디카페인 에스프레소
2	73	0	1	3000	메가리카노	16	깊고 진한 메가MGC커피 아메리카노를 '960ml' 더 큼직하게 즐길 수 있는 대용량 커피.
2	73	1	0	1500	아메리카노	12	메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.
2	73	0	0	2000	아메리카노	12	메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.
2	76	1	0	2700	꿀아메리카노	172	아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.
2	76	0	0	2700	꿀아메리카노	162	아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.
2	75	1	0	2700	헤이즐넛 아메리카노	82	아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.
2	75	0	0	2700	헤이즐넛 아메리카노	113	아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.
2	74	1	0	2700	바닐라 아메리카노	84	아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.
2	74	0	0	2700	바닐라 아메리카노	121	아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.
2	79	1	0	2800	티라미수 라떼	419	에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.
2	79	0	0	2800	티라미수 라떼	400	에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.
2	83	1	0	2900	카페 라떼	175	진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
2	83	0	0	2900	카페 라떼	145	진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
2	80	1	0	3400	바닐라 라떼	231	바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
2	80	0	0	3400	바닐라 라떼	244	바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
2	77	1	0	3400	헤이즐넛 라떼	240	부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 라떼.
2	77	0	0	3400	헤이즐넛 라떼	237	부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 라떼.
2	81	1	0	3900	연유 라떼	321	향기로운 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼.
2	81	0	0	3500	큐브 라떼	304	연유를 섞은 라떼에 에스프레소를 얼린 커피큐브를 올려, 녹을수록 더 진한 커피가 느껴지는 라떼.
2	82	1	0	3700	카라멜 마끼아또	244	폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.
2	82	0	0	3700	카라멜 마끼아또	243	폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.
2	90	1	0	3900	카페 모카	380	초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.
2	90	0	0	3900	카페 모카	305	초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.
2	84	1	0	2900	카푸치노	145	에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.
2	84	0	0	2900	카푸치노	132	에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.
2	86	1	0	3500	콜드브루 오리지널	10	차가운 물에 장시간 우려내 깔끔한 목넘김을 느낄 수 있는 콜드브루.
2	86	0	0	3500	콜드브루 오리지널	7	차가운 물에 장시간 우려내 깔끔한 목넘김을 느낄 수 있는 콜드브루.
2	85	1	0	4000	콜드브루 라떼	164	콜드브루에 고소한 우유를 섞어, 깔끔함과 부드러움을 잡은 라떼.
2	85	0	0	4000	콜드브루 라떼	167	콜드브루에 고소한 우유를 섞어, 깔끔함과 부드러움을 잡은 라떼.
2	94	0	0	5000	젤라또 아포카토	155	바닐라 젤라또에 진한 에스프레소를 부어 만든 디저트
2	95	1	0	2500	녹차	1	고소한 감칠맛과 부드러운 목넘김으로 산뜻하게 마음을 위로하는 국내산 녹차.
2	95	0	0	2500	녹차	1	고소한 감칠맛과 부드러운 목넘김으로 산뜻하게 마음을 위로하는 국내산 녹차.
2	103	1	0	3500	사과유자차	227	애플티의 향긋함과 유자청의 상큼달콤함을 한컵에 담아낸 과일티.
2	103	0	0	3500	사과유자차	242	애플티의 향긋함과 유자청의 상큼달콤함을 한컵에 담아낸 과일티.
2	98	1	0	2500	얼그레이	1	홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.
2	98	0	0	2500	얼그레이	1	홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.
2	99	1	0	2500	캐모마일	1	마음을 진정 시켜주는 산뜻한 풀내음을 느낄 수 있는 허브티.
2	99	0	0	2500	캐모마일	1	마음을 진정 시켜주는 산뜻한 풀내음을 느낄 수 있는 허브티.
2	100	1	0	2500	페퍼민트	1	멘톨향의 묵직한 청량감, 상쾌한 맛과 향이 인상적인 허브티.
2	100	0	0	2500	페퍼민트	2	멘톨향의 묵직한 청량감, 상쾌한 맛과 향이 인상적인 허브티.
2	104	1	0	3300	유자차	286	비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.
2	104	0	0	3300	유자차	303	비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.
2	105	1	0	3300	레몬차	275	상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.
2	105	0	0	3300	레몬차	327	상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.
2	106	1	0	3300	자몽차	294	달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.
2	106	0	0	3300	자몽차	297	달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.
2	107	1	0	3700	허니 자몽 블랙티	302	달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티.
2	107	0	0	3700	허니 자몽 블랙티	265	달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티.
2	101	0	0	3000	복숭아 아이스티	297	깊은 맛의 홍차와 달콤한 복숭아의 은은한 향이 어우러진 시원한 여름철 인기 음료.
2	114	0	0	4500	수박 주스	139	돌아온 여름시즌 베스트셀러! 달달하고 시원한 메가MGC커피 만의 수박주스
2	115	0	0	5400	레드오렌지 자몽 주스	205	엄선된 시칠리아 레드오렌지와 자몽이 만난 상큼한 주스에 프로바이오틱스를 더해 건강한 블렌딩 주스
2	116	0	0	4500	샤인 머스캣 그린 주스	218	달콤한 샤인머스캣과 케일이 만난 싱그러운 주스에 칼슘을 더해 건강한 블렌딩 주스
2	117	0	0	4500	딸기 주스	246	상큼한 딸기와 부드러운 바나나가 만나, 새콤달콤한 매력이 살아 있는 과일 음료.
2	126	1	0	2000	디카페인 에스프레소	6	디카페인으로 만나는 메가MGC커피 에스프레소
2	128	1	0	2200	디카페인 에스프레소 피에노	99	크림과 코코아 파우더를 올려 부드럽게 즐길 수 있는 디카페인 에스프레소
2	129	0	1	3000	디카페인 메가리카노	17	메가MGC커피 디카페인 아메리카노를 '960ml' 더 크고 가볍게 즐길 수 있는 대용량 커피
2	129	1	0	1500	디카페인 아메리카노	9	향과 풍미 그대로 카페인만을 낮춰 민감한 분들도 안심하고 매일매일 즐길 수 있는 디카페인 커피
2	129	0	0	2000	디카페인 아메리카노	9	향과 풍미 그대로 카페인만을 낮춰 민감한 분들도 안심하고 매일매일 즐길 수 있는 디카페인 커피
2	129	1	0	2700	디카페인 꿀 아메리카노	149	디카페인 아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.
2	129	0	0	2700	디카페인 꿀 아메리카노	137	디카페인 아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.
2	130	1	0	2700	디카페인 헤이즐넛 아메리카노	84	디카페인 아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.
2	130	0	0	2700	디카페인 헤이즐넛 아메리카노	108	디카페인 아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.
2	131	1	0	2700	디카페인 바닐라 아메리카노	83	디카페인 아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.
2	131	0	0	2700	디카페인 바닐라 아메리카노	107	디카페인 아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.
2	132	1	0	2900	디카페인 카페 라떼	178	디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
2	132	0	0	2900	디카페인 카페 라떼	147	디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
2	133	1	0	3400	디카페인 바닐라 라떼	233	디카페인으로 즐기는 바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
2	133	0	0	3400	디카페인 바닐라 라떼	239	디카페인으로 즐기는 바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
2	132	1	0	3400	디카페인 헤이즐넛 라떼	240	부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 디카페인 라떼.
2	132	0	0	3400	디카페인 헤이즐넛 라떼	237	부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 디카페인 라떼.
2	134	1	0	3900	디카페인 연유 라떼	301	디카페인 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼.
2	132	1	0	3900	디카페인 티라미수 라떼	436	디카페인 에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.
2	132	0	0	3900	디카페인 티라미수 라떼	404	디카페인 에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.
2	135	1	0	2900	디카페인 카푸치노	152	디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 카푸치노.
2	135	0	0	2900	디카페인 카푸치노	127	디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 카푸치노.
2	136	1	0	3700	디카페인 카라멜 마끼아또	238	폼 밀크 속에 진한 디카페인 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피
2	136	0	0	3700	디카페인 카라멜 마끼아또	232	폼 밀크 속에 진한 디카페인 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피
2	135	1	0	3900	디카페인 카페 모카	430	초코를 만나 풍부해진 디카페인 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.
2	135	0	0	3900	디카페인 카페 모카	319	초코를 만나 풍부해진 디카페인 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.
2	138	1	0	3500	콜드브루 디카페인	9	카페인을 줄였지만, 원두 본연의 향미를 풍부하게 살려 맛을 잡은 디카페인 콜드브루.
2	138	0	0	3500	콜드브루 디카페인	7	카페인을 줄였지만, 원두 본연의 향미를 풍부하게 살려 맛을 잡은 디카페인 콜드브루.
2	138	1	0	4000	콜드브루 디카페인 라떼	153	우유와 만나 부드럽고 고소한 풍미가 더해진 콜드브루 디카페인 라떼.
2	138	0	0	4000	콜드브루 디카페인 라떼	140	우유와 만나 부드럽고 고소한 풍미가 더해진 콜드브루 디카페인 라떼.
2	127	0	0	5000	디카페인 젤라또 아포카토	162	바닐라 젤라또에 진한 디카페인 에스프레소를 부어 만든 디저트
2	145	1	1	3800	메가초코	507	부드러운 우유에 진한 초코소스, 달콤한 휘핑크림의 삼박자 조화로 완성한 달콤 초코 음료.
2	145	0	1	3800	메가초코	397	부드러운 우유에 진한 초코소스, 달콤한 휘핑크림의 삼박자 조화로 완성한 달콤 초코 음료.
2	144	0	0	3900	오레오 초코 라떼	485	진한 초코와 리얼 오레오를 블렌딩해 씹는 맛을 더한 달콤한 아이스 라떼.
2	145	1	0	3500	핫초코	374	부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료.
2	144	0	0	3500	아이스 초코	308	부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료.
2	151	0	0	3700	딸기 라떼	366	산뜻하고 달콤한 딸기가 부드러운 우유와 어우러져 더욱 기분 좋게 즐기는 아이스 라떼.
2	150	1	0	3500	고구마 라떼	310	달콤하고 고소한 고구마와 부드러운 우유가 만나 누구나 즐기기 좋은 든든한 라떼.
2	150	0	0	3500	고구마 라떼	248	달콤하고 고소한 고구마와 부드러운 우유가 만나 누구나 즐기기 좋은 든든한 라떼.
2	140	1	0	3000	곡물 라떼	389	우유에 곡물을 더해 고소하고 든든하게 즐기는 라떼.
2	140	0	0	3000	곡물 라떼	390	우유에 곡물을 더해 고소하고 든든하게 즐기는 라떼.
2	149	1	0	3800	토피넛 라떼	368	은은하게 퍼지는 카라멜의 달달한 향기와 견과의 고소함을 한입에 즐길 수 있는 라떼.
2	149	0	0	3800	토피넛 라떼	364	은은하게 퍼지는 카라멜의 달달한 향기와 견과의 고소함을 한입에 즐길 수 있는 라떼.
2	148	1	0	3500	녹차 라떼	280	향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼.
2	148	0	0	3500	녹차 라떼	288	향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼.
2	142	0	0	3300	흑당 라떼	322	모리셔스의 진한 흑당과 부드러운 우유가 달콤하게 조화를 이루는 라떼.
2	143	0	0	3700	흑당버블 라떼	320	모리셔스의 진한 흑당과 부드러운 우유가 달콤한 조화에 흑당 버블을 함께 즐기는 라떼.
2	252	0	1	2500	아이스와앙모찌-고흥유자	165	상큼한 고흥유자 필링에 쫀득한 떡을 감싸 만든 시원한 여름 한정 아이스와앙모찌
2	250	0	1	2500	아이스와앙모찌-팥빙수	160	달달한 연유와 빙수크림을 쫀득한 떡으로 감싸 만든 시원한 여름 한정 아이스와앙모찌
2	207	1	0	4500	오트밀 팬케이크	400	건강한 오트밀가루로 만든 팬케이크에 달콤한 메이플 시럽과 프레지덩 버터, 쥬에그 과일잼이 더해진 팬케이크
2	199	1	0	4500	티리미수 팬케이크	600	에스프레소의 향이 느껴지는 달콤한 팬케이크에 크리미한 크림이 가득 올라간 부드러운 티라미수 팬케이크
2	170	0	1	5300	첨벙첨벙 간식 꾸러미	409	핫도그 보물섬을 찾아서 생크림 오믈렛 파도를 헤엄치는 커스타드맛 상어로 구성 된 여름 간식 꾸러미
2	231	1	0	4400	미트파이	375	풍미 가득한 치즈와 바비큐 소스로 맛을 낸 소고기를 듬뿍 담은 미트파이
2	172	0	0	3500	버터버터 소금빵	337	고소한 프랑스산 프레지덩 버터를 듬뿍넣어 더 부드럽고 짭쪼롬하게 즐길 수 있는 베이커리 메뉴
2	167	0	0	3500	크루아상	198	바삭하고 부드러운 식감에 고소한 버터향을 가득 담은 베이커리 메뉴.
2	158	1	0	5400	마르게리타 피자	360	이탈리아산 듀럼밀을 사용한 쫄깃한 도우에 토마토소스, 모짜렐라 치즈 바질을 더해 든든하게 만든 풍미가득 마르게리타 피자
2	158	1	0	5100	허니버터 피자	500	이탈리아산 듀럼밀을 사용한 쫄깃한 도우에 버터, 모짜렐라 치즈, 꿀을 더해 든든하게 만든 단짠단짠 허니버터 피자
2	286	0	0	2900	그래놀라 스모어 쿠키	542	그래놀라가 콕콕 박힌 통곡물 쿠키에 달콤하게 구운 마시멜로우가 만나 더욱 건강한 쿠키
2	275	0	0	2900	말차 스모어 쿠키	583	화이트 초코칩이 가득 박힌 말차 쿠키에 달콤하게 구운 마시멜로우를 얹어 달콤쌉싸름한 매력을 간직한 쿠키.
2	273	0	0	2900	초코 스모어 쿠키	578	초코칩이 콕콕 박힌 촉촉한 초코 쿠키에 달콤하게 구운 마시멜로우가 만나 더 진한 초코 맛 쿠키.
2	287	0	0	1800	마카다미아 쿠키	318	고소한 마카다미아를 넣어 만든 메가MGC커피 시그니처 쿠키.
2	282	0	0	1800	초콜릿칩 쿠키	319	진한 초콜릿칩을 넣어 만든 메가MGC커피 시그니처 쿠키.
2	167	0	0	2500	플레인 크로플	252	버터풍미가 가득한 크루와상의 바삭함과 와플의 부드러움을 합친 겉바속촉 베이커리 메뉴.
2	167	0	0	3500	아이스크림 크로플	309	따뜻하고 바삭한 크로플 위에 차갑고 달콤한 바닐라 아이스크림을 올려 만든 매력적인 베이커리 메뉴.
2	249	0	0	2400	아이스허니와앙슈	200	꿀을 섞은 크림을 바삭한 쿠키슈 안에 넣어, 건강하고 맛있게 완성한 디저트.
2	171	1	0	3800	크로크무슈	591	고소한 식빵 사이에 햄과 치즈를 샌드하고, 빵 윗면에 멜팅치즈를 토핑해 든든한 한끼를 선물하는 샌드위치.
2	194	0	0	4900	몽쉘케이크	383	진하고 폭신한 초콜릿 스펀지 사이에 부드러운 생크림이 듬뿍 들어간 몽쉘 케이크.
2	171	0	0	1900	햄앤치즈샌드	211	햄과 치즈의 조화로운 한끼를 만끽할 수 있는 메가커피 샌드위치.
2	201	0	0	3300	치즈 케익	272	진한 치즈의 맛을 달콤하고 부드럽게 느낄 수 있는 케이크.
2	194	0	0	3300	초코무스 케익	376	달콤한 초콜릿 본연의 맛을 더 진하게 느낄 수 있는 케이크.
2	199	0	0	3300	티라미수 케익	263	부드러운 치즈 맛과 코코아의 조화로운 향으로 호불호 없이 즐기는 케이크.
2	171	1	0	4500	허니브레드	800	바삭하고 쫄깃하게 구워낸 빵에 달콤한 크림을 올려 즐기는 조화로운 베이커리 메뉴.
2	170	1	0	2200	핫도그	445	부드러운 빵 속에 쫄깃한 소시지를 넣어 알찬 한입을 완성한 베이커리 메뉴.
2	160	1	0	3500	감자빵	295	쫄깃한 빵 속 포슬포슬한 감자를 가득 담아낸 베이커리 메뉴.
2	274	0	0	1800	딸기요거트 마카롱	226	딸기요거트 스무디를 연상하게 하는 상큼한 마카롱.
2	273	0	1	1800	메가초코 마카롱	251	메가커피 시그니처 음료 메가초코를 모티브로 만든 초코맛 마카롱.
2	280	0	1	1800	유니콘 프라페 마카롱	230	메가커피 인기 음료인 유니콘 프라페를 모티브로 만든 매지컬 비주얼 마카롱.
2	280	0	0	1800	쿠키프라페 마카롱	240	메가커피 인기메뉴인 쿠키프라페를 모티브로 만든 달콤한 마카롱.
