메뉴타입	디저트분류	메뉴명	칼로리	메뉴소개	
0	4	쿠앤크아이스크림	150	시원한 쿠앤크아이스크림
0	4	메론아이스크림	150	시원한 메론아이스크림
0	4	말차아이스크림 150	시원한 말차아이스크림
0	4	모히또아이스크림	150	시원한 모히또아이스크림
0	4	얼그레이아이스크림	150	시원한 얼그레이아이스크림
0	4	포도아이스크림	150	시원한 포도아이스크림
0	4	민트초코아이스크림	150	시원한 민트초코아이스크림
0	4	초코볼아이스크림	150	시원한 초코볼아이스크림
0	4	레인보우아이스크림	150	시원한 레인보우아이스크림
0	4	피칸아이스크림	150	시원한 피칸아이스크림
0	4	피스타치오아이스크림	150	시원한 피스타치오아이스크림
0	4	쌀아이스크림	150	시원한 쌀아이스크림
0	4	누텔라아이스크림	150	시원한 누텔라아이스크림
0	4	카라멜아이스크림	150	시원한 카라멜아이스크림
0	4	팥아이스크림	150	시원한 팥아이스크림
0	4	체리아이스크림	150	시원한 체리아이스크림
0	4	레몬아이스크림	150	시원한 레몬아이스크림
0	5	밀크초콜릿	150	달콤한 밀크초콜릿
0	5	솔트초콜릿	150	달콤한 솔트초콜릿
0	5	딸기초콜릿	150	달콤한 딸기초콜릿
0	5	다크초콜릿	150	달콤한 다크초콜릿
0	5	피넛초콜릿	150	달콤한 피넛초콜릿
0	5	요거트초콜릿	150	달콤한 요거트초콜릿
0	5	라즈베리초콜릿	150	달콤한 라즈베리초콜릿
0	5	바나나초콜릿	150	달콤한 바나나초콜릿
0	5	체리초콜릿	150	달콤한 체리초콜릿
0	5	얼그레이초콜릿	150	달콤한 얼그레이초콜릿
0	5	화이트초콜릿	150	달콤한 화이트초콜릿
0	5	커피초콜릿	150	달콤한 커피초콜릿
0	5	블루베리초콜릿	150	달콤한 블루베리초콜릿
0	5	한라봉초콜릿	150	달콤한 한라봉초콜릿
0	5	쿠앤크초콜릿	150	달콤한 쿠앤크초콜릿
0	5	호두초콜릿	150	달콤한 호두초콜릿
0	5	아몬드초콜릿	150	달콤한 아몬드초콜릿
0	5	트러플초콜릿	150	달콤한 트러플초콜릿
0	5	생초콜릿	150	달콤한 생초콜릿
0	5	허니밀크초콜릿	150	달콤한 허니밀크초콜릿
0	6	초코쿠키	450	달콤한 초코쿠키
0	6	딸기쿠키	450	달콤한 딸기쿠키
0	6	녹차쿠키	450	달콤한 녹차쿠키
0	6	레드벨벳쿠키	450	달콤한 레드벨벳쿠키
0	6	솔트카라멜쿠키	450	달콤한 솔트카라멜쿠키
0	6	치즈쿠키	450	달콤한 치즈쿠키
0	6	화이트초코쿠키	450	달콤한 화이트초코쿠키
0	6	아몬드쿠키	450	달콤한 아몬드쿠키
0	6	코코넛쿠키	450	달콤한 코코넛쿠키
0	6	더블초코쿠키	450	달콤한 더블초코쿠키
0	6	퍼지쿠키	450	달콤한 퍼지쿠키
0	6	크렌베리쿠키	450	달콤한 크렌베리쿠키
0	6	피넛버터쿠키	450	달콤한 피넛버터쿠키
0	6	오트밀쿠키	450	달콤한 오트밀쿠키
0	6	마카다미아쿠키	450	달콤한 마카다미아쿠키
0	6	검은깨쿠키	450	달콤한 검은깨쿠키
0	6	단호박쿠키	450	달콤한 단호박쿠키
0	6	콘사브레쿠키	450	달콤한 콘사브레쿠키
0	6	딸기타르트쿠키	450	달콤한 딸기타르트쿠키
0	6	커피아몬드쿠키	450	달콤한 커피아몬드쿠키릿
