디저트분류	음료분류	메뉴명	칼로리	메뉴소개	메뉴이미지
5		밀크초콜릿	150	부드러운 밀크초콜릿	5_milk_cho.png
5		솔트초콜릿	150	단짠단짠의 정석 솔트초콜릿	5_saul_cho.png
5		딸기초콜릿	150	딸기가 들어있는 딸기초콜릿	5_dark_cho.png
5		다크초콜릿	150	부담스럽지 않게 다크 초콜릿	5_dark_cho.png
5		피넛초콜릿	150	씹히는 맛이 있는 피넛 초콜릿	5_pea_cho.png
5		요거트초콜릿	150	새콤하게 달콤하게 요거트 초콜릿	5_yo_cho.png
5		라즈베리초콜릿	150	진한 맛의 라즈베리 초콜릿	5_ras_cho.png
5		바나나초콜릿	150	부드럽게 달콤한 바나나초콜릿	5_bana_cho.png
5		체리초콜릿	150	체리의 맛이 느껴지는 체리초콜릿	5_che_cho.png
5		얼그레이초콜릿	150	질리지 않는 맛의 얼그레이 초콜릿	5_ul_cho.png
5		화이트초콜릿	150	달콤한 화이트초콜릿	5_wha_cho.png
5		커피초콜릿	150	달달한 커피의 맛, 커피 초콜릿	5_cnc_cho.png
5		블루베리초콜릿	150	새콤달콤 블루베리 초콜릿	5_blu_cho.png
5		한라봉초콜릿	150	귤보다 더 상큼한 한라봉 초콜릿	5_han_cho.png
5		쿠앤크초콜릿	150	쿠키도 맛있는 쿠앤크초콜릿	5_cnc_cho.png
5		호두초콜릿	150	고소한 호두초콜릿	5_ho_cho.png
5		아몬드초콜릿	150	오독오독 맛있는 아몬드초콜릿	5_amon_cho.png
5		트러플초콜릿	150	고급지게 달콤한 트러플초콜릿	5_tru_cho.png
5		생초콜릿	150	쫀득쫀득 생초콜릿	5_sang_cho.png
5		허니밀크초콜릿	150	달콤하게 담백한 허니밀크초콜릿	5_honmil_cho.png
6		초코쿠키	450	달콤한 초코가 가득 들어있는 초코쿠키	6_cho_coo.png
6		딸기쿠키	450	새콤달콤 딸기쿠키	6_ddal_coo.png
6		녹차쿠키	450	부담스럽지 않게 달콤한 녹차쿠키	6_nok_coo.png
6		레드벨벳쿠키	450	크림치즈와 환상궁합! 레드벨벳쿠키	6_red_coo.png
6		솔트카라멜쿠키	450	단짠단짠 질리지않는 솔트카라멜 쿠키	6_saulca_coo.png
6		치즈쿠키	450	부드럽고 맛있는 치즈쿠키	6_che_coo.png
6		화이트초코쿠키	450	달콤한 화이트초코쿠키	6_whco_coo.png
6		아몬드쿠키	450	고소하고 달콤한 아몬드쿠키	6_amon_coo.png
6		코코넛쿠키	450	이색적인 맛, 코코넛이 들어있는 쿠키	6_coco_coo.png
6		더블초코쿠키	450	달콤하게 맛있는 더블초코쿠기	6_douco_coo.png
6		퍼지쿠키	450	쫀득하게 달콤한 퍼지쿠키	6_fu_coo.png
6		크렌베리쿠키	450	부담스럽지않게 달콤한 크렌베리쿠키	6_cren_coo.png
6		피넛버터쿠키	450	고소하고 부드러운 피넛버터쿠키	6_peabut_coo.png
6		오트밀쿠키	450	오트밀이 통으로 들어있는 오트밀쿠키	6_ot_coo.png
6		마카다미아쿠키	450	누구나 즐길 수 있는 마카다미아쿠키	6_maca_coo.png
6		검은깨쿠키	450	고소하고 건강한 검은깨쿠키	6_gae_coo.png
6		단호박쿠키	450	건강간식으로 좋은 단호박쿠키	6_dan_coo.png
6		콘사브레쿠키	450	옥수수맛이 느껴지는 부드러운 콘사브레쿠키	6_sab_coo.png
6		딸기타르트쿠키	450	새콤달콤한 딸기타르트쿠키	6_ddalta_coo.png
6		커피아몬드쿠키	450	깊은 커피와 고속한 아몬드맛이 느껴지는 커피아몬드쿠키	6_coffamon_coo.png
6		마카롱	432	아몬드 가루가 들어가 고소하고 달달한 마카롱	6_macar_coo.png
6		마들렌	298	상큼한 레몬 제스트가 들어가 맛있는 마들렌	6_mad_coo.png
6		초코 머핀	324	초콜릿 칩이 들어가 달콤한 머핀	6_muffi_coo.png
6		치즈 머핀	350	폭신한 치즈가 들어간 머핀	6_chemuf_coo.png
6		와플	364	바삭히 눌려 구워진 와플	6_waffu_coo.png
6		크로플	399	크로와상을 와플기계로 눌러 더욱 맛있게 만든 제품	6_croful_co.png
6		초콜릿 칩 쿠키	362	초콜릿칩이 송송 박힌 쿠키	6_chochip_coo.png
6		피낭시에	387	금괴를 닮은 모양으로 만들어진 피낭시에	6_pina_coo.png
