브랜드	상호	가맹점수	신규개점	계약종료	계약해지	명의변경	가맹점 평균매출액	가맹점 면적(3.3㎡)당 평균매출액
더플롯커피(THE PLOT COFFEE)	더플롯(THEPLOT)	0	0	0	0	0	0	0
고품격 커피공장	고품격커피공장	25	13	0	0	0	148,753	12,694
우지커피(OOZYCOFFEE)	(주)우지컴퍼니	18	15	0	1	0	229,020	12,054
딜리커피(DILI COFFEE)	케이엠케이	0	0	0	0	0	0	0
커피시장	커피시장상동점	0	0	0	0	0	0	0
고팥슈	고팥슈	0	0	0	0	0	0	0
스므으커피	(주)제이제이디	10	7	0	3	0	173,342	7,176
새콩커피	새콩커피	0	0	0	0	0	0	0
블레스롤(Bless Roll)	블레스롤가맹본부	23	4	0	1	2	282,804	6,141
데니스	데니스	29	7	0	3	0	142,080	7,952
또잇카페(TTOEATCAFE)	또잇카페본점(TTOEATCAFE)	1	1	0	0	0	0	0
오늘도뚠뚠	오늘도뚠뚠	0	0	0	0	0	0	0
유디저브&발아커피	유디저브&발아커피(youdeserve&발아커피)	0	0	0	0	0	0	0
따브루커피	황군통상	0	0	0	0	0	0	0
카페달링	카페달링	8	8	0	0	0	0	0
오페라빈 에스프레소바	오페라빈에스프레소바	0	0	0	0	0	0	0
피에스타7커피	우아한패밀리(주)	4	3	0	0	0	0	0
광화문커피	부라보에프엔비	0	0	0	0	0	0	0
길테이블	길테이블	2	0	0	0	0	0	0
아티클(ARTICLE)	(주)언노운로스터스	0	0	0	0	0	0	0
오슬랑	(주)고구려에프앤비	8	8	0	0	0	134,688	12,045
에스이커피(SE COFFEE)	에스이커피	0	0	0	0	0	0	0
커스텀커피	(주)커스텀커피	52	44	0	0	1	253,117	13,913
디저트 39	(주)에스엠씨인터내셔널	336	190	0	0	11	374,855	20,850
키쿠키앤커피(KEY COOKIE&COFFEE)	(주)키커피컴퍼니	0	0	0	0	0	0	0
더착한커피	대한통상(주)	0	0	0	0	0	0	0
커피명가	(주)커피명가	41	6	1	0	0	214,054	4,836
커피인류	커피인류팩토리	31	18	0	0	0	246,949	19,628
나를 위한 하루 날 위한 커피	나를위한하루날위한커피	2	2	0	0	0	0	0
올디스커피 ALL THIS COFFEE	올디스커피ALLTHISCOFFEE	0	0	0	0	0	0	0
카페안시,스튜디오안시	카페안시,스튜디오안시	2	2	0	1	0	0	0
전광수커피	(주)전광수커피	15	0	0	0	1	222,193	7,098
콩하우스	콩하우스	0	0	0	0	0	0	0
마이크로로스터즈	(주)채움에프앤비	1	0	0	0	0	0	0
채우다	(주)채움에프앤비	7	4	0	0	2	166,371	12,868
에그필카페	에그필(eggfill)	0	0	0	0	0	0	0
프롬하츠(FROM HEARTS)	(주)프롬하츠	15	2	0	0	2	189,376	4,701
더피터커피	(주)온어힐	0	0	0	0	0	0	0
어랏커피	어랏커피	0	0	0	0	0	0	0
커피닷컴	(주)포텐	0	0	0	0	0	0	0
폴프랭크카페	폴프랭크카페코리아(주)	0	0	0	0	0	0	0
카페에이.아이	(주)어라운드에이치큐	0	0	0	0	0	0	0
스피드커피	(주)푸드랩	0	0	0	0	0	0	0
커피101스트릿(COFFEE 101 STREET)	㈜커피101스트릿	19	5	0	1	1	154,189	5,675
띵크커피	(주)티씨케이컴퍼니	1	0	0	0	0	0	0
핸즈커피 (HANDS COFFEE)	(주)지핸즈	83	3	13	0	0	223,996	5,276
슬럿커피	(주)에이알피그룹	0	0	0	0	0	0	0
오제뉴어리(O January)	오제뉴어리	1	1	0	0	0	0	0
마시그래이	(주)에스이엠	77	6	0	5	7	115,511	9,467
동네커피	동네컴퍼니	41	41	0	0	0	0	0
주커피	태영에프앤비(주)	22	0	0	5	0	82,625	1,556
프리슈커피	(주)프리슈	0	0	0	0	0	0	0
커피크리머(COFFEE CREAMOR)	(주)정호	0	0	0	0	0	0	0
제주 제이제이씨 커피	㈜구공에프앤비	0	0	0	0	0	0	0
cafe65℃	(주)육십오도씨	11	1	1	0	0	72,411	3,121
COFFEENIE	(주)커피니	80	5	0	12	5	102,223	3,049
카페제곱	(주)제곱컴퍼니	4	4	0	0	0	0	0
카페루앤비	(주)루앤비	64	0	0	17	1	16,383	1,066
붕어네, 커피	딜라이트푸드	0	0	0	0	0	0	0
커피에 반하다 스마트카페	(주)커피에반하다	33	34	0	1	0	0	0
커피에 반하다 스마트카페	(주)커피에반하다	33	34	0	1	0	0	0
커피에 반하다 스마트카페	(주)커피에반하다	33	34	0	1	0	0	0
카페희다	(주)희다	11	9	0	0	0	265,705	17,005
엔젤비스켓	(주)에스프레소	0	0	0	0	0	0	0
시나본(CINNABON)	블루빈컴퍼니(주)	22	12	3	2	2	110,218	10,418
컬러인커피	재영홀딩스	8	0	0	1	0	0	0
디저트부티크엠	디저트부티크엠	1	1	0	0	0	0	0
익스브루	주명연구개발	0	0	0	0	0	0	0
카페606	(주)세영에프앤비	4	4	0	0	0	0	0
달이다	(주)아임일리터	0	0	0	0	0	0	0
핑퐁커피	㈜에이치케이컴퍼니	4	4	0	0	0	0	0
데일리오아시스	(주)에이치케이컴퍼니	13	4	1	0	0	218,790	5,462
라붐커피(LABOOM COFFEE)	(주)라붐팩토리	4	0	0	0	0	0	0
카페알앤비(CAFE R&B)	카페알앤비(CafeR&B스타샌드)	0	0	0	0	0	0	0
루이스해밀턴커피	(주)옴니아	0	0	0	0	0	0	0
크로플다일	크로플다일	1	1	0	0	0	0	0
카페라이더	(주)지로스터	17	10	0	0	0	183,675	4,140
C.&tree coffee	(주)에스에스피씨	0	0	0	0	0	0	0
에이썸	(주)트루팜	0	0	0	0	0	0	0
말리따(MALITTA)	(주)피쉐프코리아	8	0	0	1	1	0	0
1L 맥스커피	일리터맥스본점	4	4	0	0	0	0	0
마망카페	마망카페	3	2	0	0	0	122,398	7,494
피카커피	(주)디더블유씨	3	2	0	0	0	0	0
카페브루빈(cafe BREWBEAN)	(주)떼루와	1	0	0	0	0	0	0
맥시멈커피	(주)서정코퍼레이션	2	2	0	0	0	73,311	4,371
커피슈퍼	이지에프코리아(EGFCOREA)	0	0	0	0	0	0	0
아이씨카페	(주)디앤디컴퍼니대구경북	4	4	0	0	0	0	0
미콩커피	미콩커피본사	5	0	0	0	0	200,000	8,450
카페이저	카페이저	0	0	0	0	0	0	0
아마스빈	(주)비케이컴퍼니	168	11	9	0	1	254,936	18,695
달쯔(DALZ)	(주)만쿠라	0	0	0	0	0	0	0
이스팀(ESTEEM)	(주)엠에이치파트너스	0	0	0	0	0	0	0
그린머그	그린머그코리아	0	0	0	0	0	0	0
카페 베리타스	(주)베리타스드림	0	0	0	0	0	0	0
몰타	에스티컴퍼니(ST.company)	15	5	0	0	2	181,097	11,875
카페에버그린	(주)더비즈랩	0	0	0	0	0	0	0
더카페드림(THE카페드림)	(주)더비즈랩	3	3	0	0	0	0	0
caf? ttoara	(주)에쓰와이프랜차이즈	0	0	0	0	0	0	0
마린커피	마린커피로스터스	11	3	0	0	1	152,515	13,768
제일구락부	메이커다이브(주)	0	0	0	0	0	0	0
하이커피	하이커피(HIGHCOFFEE)	1	1	0	0	0	0	0
엘아르카	엘아르카	12	2	2	0	0	63,766	1,776
아몽즈커피(A Mong Z)	(주)꿈을실현하는사람들	3	3	0	0	0	0	0
잇지커피	(주)위너스에프앤디	0	0	0	0	0	0	0
주니아	㈜하나패밀리	15	9	0	2	0	224,944	15,979
후식(WHO SEEK)	제이엠트렌드	6	3	0	0	0	343,187	0
벤투스커피	(주)카페홀릭	1	0	0	0	0	0	0
루고	(주)이랜드이츠	10	0	1	0	0	87,658	5,142
로반스윗	(주)로반스윗	7	1	0	1	0	68,571	6,854
더카페	(주)이랜드이츠	171	7	0	8	3	111,551	8,405
터치카페	(주)더블유씨엠인터내셔널	47	12	7	0	0	27,855	3,453
카페게이트	(유)에브라임이노베이션	115	41	0	9	4	160,755	13,296
다빈치커피	(주)다빈치	10	0	6	1	0	71,746	2,660
커피사피엔스	(주)커피사피엔스	55	17	0	2	7	177,569	15,580
카페베네	(주)카페베네	236	10	0	53	12	135,168	2,812
한글153	골든내츄럴라이프	0	0	0	0	0	0	0
하이오커피	(주)하이파이브	87	74	0	0	2	191,451	14,853
디에떼에스프레소	(주)디떼	71	3	12	9	4	40,763	1,533
커피나인	(주)커피나인컴퍼니	0	0	0	0	0	0	0
퀸즈브라운	대현패밀리(주)	6	0	3	0	1	98,036	3,427
빌리브라운(BILLYBROWN)	(주)빌리컴퍼니	10	0	2	0	0	124,619	7,178
매머드커피(Mammoth coffee)	(주)매머드커피랩	45	1	0	14	3	202,423	14,815
매머드익스프레스(Mammoth Express)	(주)매머드커피랩	295	139	0	6	18	192,732	16,435
카페베르냐노 1882	(주)유진에프엔비	0	0	0	0	0	0	0
카페홀릭	(주)카페홀릭	4	0	0	0	0	0	0
해머스미스커피	(주)해머스미스커피컴퍼니	20	20	0	0	0	0	0
영다방	(주)와이엠상사	4	4	0	0	0	0	0
깡통다방	(주)와이엠상사	0	0	0	0	0	0	0
에이프리카페(A-FREE CAFE)	(주)트렌차이즈	0	0	0	0	0	0	0
커핀그루나루	(주)커핀그루나루	15	0	0	10	1	201,563	3,609
뿌루밀리(pulu mylly)	(주)밀리앤컴퍼니	1	1	0	0	0	0	0
캔카페	(주)추앤서에프앤비	12	2	1	2	0	77,058	4,635
탐앤탐스 (TOM N TOMS)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
탐앤탐스 (TOM N TOMS)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
탐앤탐스 (TOM N TOMS)	(주)탐앤탐스	306	38	43	0	17	232,707	1,549
에이햅(Ahap)	(주)다이버스잇	0	1	0	1	0	0	0
24시무인 셀프카페	에스시(SC)월드와이드	25	9	3	1	0	0	0
칠리노	(주)해리스	11	11	0	0	0	0	0
드립앤더치	연두커피인터내셔날(주)	3	0	0	0	0	0	0
카페코지	(주)카페코지	41	9	0	4	5	55,530	3,536
비커피(BEE COFFEE)	(주)씨에프씨	5	2	0	1	0	152,767	7,305
청담 커피	(주)창업파트너	0	0	0	0	0	0	0
서초동 에스프레소	(주)창업파트너	0	0	0	0	0	0	0
이든스도넛	(주)케이원에프엔비	0	0	0	0	0	0	0
Cellpinda(셀핀다)	(주)셀핀다	0	0	0	0	0	0	0
일맥커피	(주)최대패	0	0	0	0	0	0	0
티블랙	(주)강남사람들	4	0	2	0	0	64,826	4,947
호이안로스터리	에이원인터컴(주)	1	0	0	0	0	7,724	1,037
TESTER COFFEE(테스터커피)	테스터	0	0	0	0	0	0	0
듀코비커피	㈜듀코비	0	0	0	0	0	0	0
플리커피	㈜단비	0	0	0	0	0	0	0
커피왕	(주)다다컴퍼니	30	5	0	1	0	86,724	5,593
원유로스페셜티커피	(주)비아이랩	72	54	0	3	2	123,711	7,654
어오케이커피(A.OK COFFEE)	(주)어오케이컴퍼니	4	4	0	0	0	0	0
카페소프트	(주)커피집단	0	0	0	0	0	0	0
행님디저트카페	(주)행복한님들	5	3	1	4	0	299,152	34,703
꾸브라빈	(주)외식전문기업제이케이	0	0	0	0	0	0	0
범퍼커피(BUMPER COFFEE)	(주)채선당	0	0	0	0	0	0	0
범퍼커피(BUMPER COFFEE)	(주)채선당	0	0	0	0	0	0	0
범퍼커피(BUMPER COFFEE)	(주)채선당	0	0	0	0	0	0	0
범퍼커피(BUMPER COFFEE)	(주)채선당	0	0	0	0	0	0	0
범퍼커피(BUMPER COFFEE)	(주)채선당	0	0	0	0	0	0	0
키브(Kiv)	키브커피	0	0	0	0	0	0	0
제로당(ZERODANG)	(주)해시즈	0	0	0	0	0	0	0
커피기업	(주)티제이커피기업	12	6	0	0	2	305,279	18,628
케이엠엘리갤러리카페	(주)케이엠엘리홀딩스	23	8	6	4	0	31,177	1,681
에이바우트커피	㈜메이크어베러(Makeabetter)	53	13	0	2	0	355,944	3,613
잇. (eat.)	(주)이에이티	0	0	0	0	0	0	0
커피브라더	(주)브라더컴퍼니	19	11	0	0	3	181,839	12,070
카페맥피일	피맥당정발산점	0	0	0	0	0	0	0
블랙오아시스	(주)티짱	0	0	0	0	0	0	0
오니와플	오니와플	5	7	0	2	0	0	0
고바슨	(주)고바슨	6	2	0	0	0	270,167	2,456
드링드링	마그네이트코리아	0	0	0	0	0	0	0
핵커피	(주)핵가족	1	0	0	0	0	0	0
OSOA(오소아)	(주)커먼룸	0	0	0	0	0	0	0
아델라7	(주)아델라7	0	0	0	0	0	0	0
바리스타비	(주)바리스타비	7	0	2	0	1	34,677	1,276
푸링	다산에이앤씨	0	0	0	0	0	0	0
워크스테이션	(주)그레닉스	0	0	0	0	0	0	0
클로버 커피(Clover Coffee)	(주)죠스푸드	0	0	0	0	0	0	0
히어유고(HERE YOU GO)	(주)페블컴퍼니	0	0	0	0	0	0	0
비알레티	신한비즈넷	0	0	0	0	0	0	0
뉴욕쟁이디저트	(주)티앤엠디	76	35	0	0	0	68,892	4,336
언빌리버블(unbeliebubble)	언빌리버블	0	0	0	0	0	0	0
시선	(주)위벨롭먼트	0	0	0	0	0	0	0
REPLICA COFFEE(레플리카커피)	레플리카커피	0	0	0	0	0	0	0
빅스버(VIXBER)	(주)한마음스마트	0	0	0	0	0	0	0
카페야(Cafe Yah)	(주)비욘드더드림	1	1	0	0	0	0	0
몬스터커피	㈜몬스터	53	23	0	0	4	183,510	14,736
1L 커피특별시	라온컴퍼니	0	0	0	0	0	0	0
피스피스	피스피스본사	3	3	0	0	0	0	0
토프레소	(주)에스앤큐플러스	184	7	0	32	16	77,524	5,117
카페임당	(주)바음	0	0	0	0	0	0	0
미남커피(MINAM COFFEE)	(주)더미남	19	8	0	2	3	0	0
카페락온	(주)여유와즐거움	0	0	0	0	0	0	0
흑운당	(주)제이에이치컴퍼니	0	0	0	0	0	0	0
태미원	(주)원우푸드	0	0	0	0	0	0	0
킥애스(kick ass)	(주)에이치더블유파트너스	0	0	0	0	0	0	0
와커피 (WA’ COFFEE)	(주)정철	3	3	0	0	0	0	0
팬도로시	(주)올리브홀딩스	7	0	4	2	0	0	0
바리스트로	(주)바리스트로	7	7	0	0	0	55,944	5,086
allcha(올차)	(주)케이푸드아이엔지	0	0	0	0	0	0	0
CAFE CANBUS(카페캔버스)	(주)명진푸드	26	20	0	1	4	116,343	8,116
점프(JUMP)	(주)범브로스	11	11	0	0	0	259,869	17,289
pindle	핀들(pindle)	0	0	0	0	0	0	0
생활커피	(주)데일리비어	0	0	0	0	0	0	0
손수	㈜지웍스	0	0	0	0	0	0	0
CAFE 설렘주의보	㈜비앰씨	20	3	1	1	3	153,271	12,828
핑거커피	(주)동양정수커피	36	10	0	4	0	12,391	1,071
카페브라우니30(CAFE BROWNY30)	(주)브라우니30	3	1	0	0	0	0	0
존잘커피	(주)눈사람	0	0	0	0	0	0	0
올리터	올리터카페&디저트프랜차이즈	7	7	0	0	0	0	0
감성카페	감성팩	0	0	0	0	0	0	0
드림커피	랜드유통	2	2	0	0	0	0	0
반달커피	루나에프엔비(주)	74	23	0	2	8	132,519	10,608
운커피(雲커피)	(주)남쪽나라	0	0	0	0	0	0	0
루머팡	(주)루머팡	7	0	0	0	0	27,596	2,509
킹스빈	킹스빈코리아	6	1	0	3	0	136,437	10,230
카페보스(CAFE BOSS)	(주)카페보스	27	23	0	1	5	99,210	4,641
와드WAD	(주)돌우물	1	1	0	0	0	0	0
무릉	(주)돌우물	0	0	0	0	0	0	0
Pause 10'	퍼즈10	1	1	0	0	0	0	0
쿠카쿠	(주)베델에프앤비(BethelF&B)	12	3	1	0	0	124,514	3,036
무인상점24	(주)무인상점24	0	0	0	0	0	0	0
꿀스커피GGUL'S COFFEE	(주)정직한	31	0	13	0	5	96,022	5,204
손커피연구소	손커피연구소	15	2	0	0	0	139,735	4,076
코페아커피(COFFEA COFFEE)	(주)감성인터내셔널	9	0	0	3	0	130,783	3,315
비바리움 파크 카페	(주)비바리움파크	0	0	0	0	0	0	0
카페드그린	그린텀블러	0	0	0	0	0	0	0
씨이십칠(C27)	(주)디앤지에프씨	2	0	0	0	0	0	0
커피문방구	(주)옥상푸드빌	0	0	0	0	0	0	0
아필코(APILCO)	에이피씨(주)	7	3	0	0	0	375,181	5,632
브런치빈	(주)91컴퍼니	6	6	0	0	0	0	0
역세권	역세권	0	0	0	0	0	0	0
히스피(HISFFEE)	(주)훈훈한배	0	0	0	0	0	0	0
블랙와인커피	(주)블랙와인커피	4	4	0	0	0	0	0
차일드큐브	(주)펀키즈코리아	0	0	0	0	0	0	0
CAFE ONRY	유한회사온카페	0	0	0	0	0	0	0
바다CCM(씨씨엠)커피	㈜바다와우리	2	2	0	0	0	0	0
바다마라나타 베이커리&커피	㈜바다와우리	0	0	0	0	0	0	0
카페발리361(CAFE BALI 361)	(주)범우실내건축	0	0	0	0	0	0	0
ALI?KENYA?STAR(알리케냐스타)커피	(주)알리스타커피	4	5	0	1	0	0	0
카페 낮앤달	(주)와이에이치	0	0	0	0	0	0	0
카페메르쎄시	(주)르하임메르쎄시	0	0	0	0	0	0	0
일월십사일	일월십사일	1	1	0	0	0	0	0
커피스토아	㈜티엠컴퍼니	4	4	0	0	0	0	0
오하오	(주)에스에이치컴퍼니	0	0	0	0	0	0	0
카페동네	(주)엘케이디앤	19	15	0	0	0	284,715	9,561
메일빈24	(주)휴니크	0	0	0	0	0	0	0
커피머피	이음프랜차이즈	0	0	0	0	0	0	0
달꽃다방	(주)포어스코퍼레이션	6	5	0	0	0	287,143	26,321
카페 70°C	한국커피평가원㈜	1	1	0	0	0	0	0
빡벳(VAC VIET)	㈜빡벳	0	0	0	0	0	0	0
알리바바(ALIBABA)	알리바바파트너스(주)	60	20	0	15	1	66,377	2,795
카페 빙코리아(Cafe BINGCORIA)	빙코리아연구소	0	0	0	0	0	0	0
헬리빈커피(HELIBEAN COFFEE)	(주)헬리빈	0	0	0	0	0	0	0
갓쓴커피	푸드앤디저트연구소	0	0	0	0	0	0	0
추억만들기	프랜차이즈그룹	0	0	0	0	0	0	0
반할커피	반할커피	6	1	0	1	0	47,809	4,097
카페16온스	(주)카페16온스	4	2	0	0	0	0	0
INGS' COFFEE	(주)더조은세상	2	2	0	0	0	0	0
무인다방	㈜엠디엑스	10	10	0	0	0	39,445	3,254
베러댄와플	베러댄와플협동조합	57	7	0	13	5	100,847	11,089
올더타임	(주)비엔	0	0	0	0	0	0	0
카페코스모	(주)코스모월드	0	0	0	0	0	0	0
카페바움(KAFFEE BAUM)	(주)더바움코리아	20	4	0	0	0	219,289	15,158
시티카페(CITTICAFFE)	(주)씨티카페비엠에스점	2	1	0	0	0	0	0
스텝에스프레소(STEP ESPRESSO)	스텝에스프레소	0	0	0	0	0	0	0
나우커피	㈜나우커피	463	193	0	45	2	2,958	331
무인커피숍	아이에프씨	0	0	0	0	0	0	0
빽다방	(주)더본코리아	971	258	0	8	65	285,048	20,213
빽다방	(주)더본코리아	971	258	0	8	65	285,048	20,213
빽다방	(주)더본코리아	971	258	0	8	65	285,048	20,213
빽다방	(주)더본코리아	971	258	0	8	65	285,048	20,213
배터리커피(BATTERY COFFEE)	우아한식탁	1	1	0	0	0	264,000	13,200
카페코나퀸즈	카페코나퀸즈(주)	8	0	2	0	0	197,638	3,274
화채업자	여기Cafe	0	0	0	0	0	0	0
이우커피	(주)만점족	0	0	0	0	0	0	0
아띠블라썸	라쿤치킨&떡볶이깐풍전설고구려찜닭요당	0	0	0	0	0	0	0
올댓커피	올댓커피보넷길점	0	0	0	0	0	0	0
카페씨이오	씨이오창업	0	0	0	0	0	0	0
카페CCD	(주)CCD	11	11	0	0	0	0	0
베라오커피	인터베이스	0	0	0	0	0	0	0
발도스커피(valdos coffee)	조이풀컴퍼니(주)	40	26	0	0	1	175,366	7,705
카페글렌	조이풀컴퍼니(주)	38	0	0	30	5	71,803	3,069
여유한잔	(주)오엠푸드	0	0	0	0	0	0	0
비에스카페(BS CAFE)	(주)청춘에프앤비	0	0	0	0	0	0	0
TOGETHER COFFEE (투게더커피)	(유)대동상회	0	0	0	0	0	0	0
PLAN (플랜)	(주)카페플랜	9	9	0	0	0	206,018	13,785
커피공감	(주)모두공감	0	0	0	0	0	0	0
커피달램	로스터리미노(roasterymino)	0	0	0	0	0	0	0
달구나 까페	(주)제이에스에스홀딩스	1	1	0	0	0	0	0
옐로우팜(YELLOW FARM)	옐로우팜	0	0	0	0	0	0	0
성별 에이유	성별에프터유	7	1	0	1	0	188,371	6,339
커피펍스	(주)도남에프앤에프	2	0	0	0	0	0	0
슈퍼사이즈커피	(주)에스에이치리테일	8	0	0	3	0	60,384	6,943
카페요아정	(주)어썸브로시스	0	0	0	0	0	0	0
TOBBYS(토비즈커피)	(주)지인터내셔날피엔케이	0	0	0	1	0	0	0
씨이오로스팅	씨이오창업	0	0	0	0	0	0	0
씨이오다방	씨이오창업	0	0	0	0	0	0	0
데일리에스프레소(Daily espresso)	데일리에스프레소	6	0	0	0	0	135,834	2,456
카페아에	(주)아에	0	0	0	0	0	0	0
물레(MULLE)	물레(MULLE)	2	1	0	0	0	0	0
오프로스터리	오프로스터리	0	0	0	0	0	0	0
장미카페	장미카페	1	1	0	0	0	0	0
플루800	에프씨푸드(FCFOOD)	28	3	2	0	3	101,204	4,956
커피매거진	커피매거진본부	3	1	0	0	0	0	0
더드림커피	더드림커피	5	4	0	0	0	0	0
감프커피	감프커피	0	0	0	0	0	0	0
륀에이치	륀에이치	0	0	0	0	0	0	0
플레이스38커피	더피그컴퍼니	3	0	0	4	0	0	0
모리커피	모리C&B	25	24	0	0	2	245,394	11,943
브레스코(BRESCO)	(주)어스베이커	0	0	0	0	0	0	0
플러스82	카페플러스82	0	0	0	0	0	0	0
샐러리아 SALARIA	샐러리아	0	0	0	0	0	0	0
워너커피(WANNA COFFEE)	워너커피	7	0	0	1	0	134,588	15,870
커피더캠프	(주)씨티씨피	10	0	4	0	0	107,179	17,863
챔스빈커피	제이와이에프앤비(주)	1	1	0	0	0	0	0
인재 36.5도 까페	협동조합인재개발뱅크	0	0	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
욤카페	욤(Yom)	3	3	0	0	0	0	0
식빵언니	엔와이앤컴퍼니(주)	0	0	0	0	0	0	0
보버라운지(BOVER)	새로인베스트먼트(주)	0	0	0	0	0	0	0
명동예술관커피	(주)골든카우보이	0	0	0	0	0	0	0
